AssignmentID,MnemonicID,Term,InstructorID 
101,ds_tech_bootcamp,fall2021,1
102,stat6021,fall2021,2
103,ds5100,fall2021,3
104,cs5012,fall2021,4
105,ds6030,fall2021,5
106,ds_biz_analytics,fall2021,6
107,ds5110,fall2021,7
108,ds5001,fall2021,8
109,ds6001,fall2021,9
110,ds6011,fall2021,4
111,ds6011,fall2021,10
112,ds6011,fall2021,9
113,ds6011,fall2021,11
114,ds6011,fall2021,12
115,ds6011,fall2021,13
116,ds6040,fall2021,5
117,ds6002,fall2021,14
118,ds6050,fall2021,15
119,ds6013,fall2021,16
120,ds6013,fall2021,17
121,ds_tech_bootcamp,summer2021,1
122,stat6021,summer2021,2
123,ds5100,summer2021,20
124,cs5012,summer2021,4
125,ds6030,summer2021,10
126,ds5110,summer2021,7
127,ds5001,summer2021,8
128,ds6001,summer2021,16
129,ds6011,summer2021,16
130,ds6011,summer2021,17
131,ds6040,summer2021,17
132,ds6002,summer2021,14
133,ds6050,summer2021,18
134,ds6013,summer2021,19
135,ds6012,summer2021,14
136,ds6003,summer2021,24
137,ds_tech_bootcamp,spring2021,1
138,stat6021,spring2021,2
139,ds5100,spring2021,3
140,cs5012,spring2021,21
141,ds6030,spring2021,22
142,ds5110,spring2021,7
143,ds5001,spring2021,8
144,ds6001,spring2021,19
145,ds6011,spring2021,19
146,ds6040,spring2021,5
147,ds6002,spring2021,23
148,ds6050,spring2021,18
149,ds6013,spring2021,16
150,ds6003,spring2021,24
151,ds6012,spring2021,23
152,sarc5400,spring2021,25
